Date: 2026-01-15T09:52:36Z
Duration: 202m 52s

[00:00-00:00] Speaker 0:  Ну как ты?
[03:37-03:55] Speaker 0:  девчонки, на всякий случай, я за месяц общаюсь ну там с пятью владельцами бизнес-клубов минимум каждый из которых там не знаю миллиарды более оборот бизнеса держит Значит, я утром сижу на примере, вот миллиард в бане, да, сижу, и у меня напротив меня там, допустим, 20 человек, 50 парней, предприниматели очень хорошего уровня.
[03:55-03:58] Speaker 0:  Так, Андрей, привет. Ага.
[03:58-03:59] Speaker 0:  Вот еще Андрей.
[03:59-04:00] Speaker 0:  Да, у нас хорошо.
[04:00-04:03] Speaker 0:  Значит, сидят напротив меня вот прям 20 человек.
[04:03-04:08] Speaker 0:  Каждый по очереди, когда берет микрофон, говорит: этот год очень непростой.
[04:08-04:10] Speaker 0:  Дальше будет очень тяжело.
[04:10-04:11] Speaker 0:  Мы сейчас прям, ну.
[04:11-04:14] Speaker 0:  Стараемся справиться, проходим, и так далее.
[04:14-04:23] Speaker 0:  Они не прекращают ходить в рестораны и покупать себе машины, но с точки зрения бизнеса происходит очень мощное схлопывание. Очень мощное.
[04:23-04:25] Speaker 0:  И среди 20 человек есть один.
[04:25-04:35] Speaker 0:  Редко два, чаще всего один человек, который говорит, слушайте, даже стыдно признаться, что у меня все просто анительно, просто охренеть, как все растет, и вот я вас слушаю.
[04:36-04:41] Speaker 0:  А сам вообще торгую китайскими и корейскими автомобилями, сделал автосервис, короче, и еще что-то сейчас.
[04:41-04:43] Speaker 0:  И у меня просто вот так все растет.
[04:43-04:48] Speaker 0:  Мы просто вот ну вагонами ждем машины, короче, у нас все вот так растет.
[04:47-04:52] Speaker 0:  Или ко мне подходит один из парней, там, которые вот недавно мы были на большом концерте одного моего друга.
[04:52-04:55] Speaker 0:  И ко мне там подходит парень, говорит, ну, меня решили с ним познакомить.
[04:55-04:57] Speaker 0:  Я говорю, у тебя как дела вообще по бизнесу?
[04:57-05:00] Speaker 0:  Он говорит: Если честно Просто вау, вот так все прет.
[05:00-05:06] Speaker 0:  И из там типа 30 человек, присутствующих на мероприятии есть один человек, у которого, например, фарма.
[05:08-05:08] Speaker 0:  Про У него завод, и они производят эти лекарства.
[05:08-05:10] Speaker 0:  И он говорит, вот так все просто прет.
[05:10-05:14] Speaker 0:  Говорит, мы говорим, там типа плюс 20% к предыдущему году, а то и больше сейчас.
[05:14-05:16] Speaker 0:  И по прибыли тоже, да?
[05:16-05:21] Speaker 0:  Даже у меня вот в инфобизнесе в онлайне я нашел двоих людей, у которых резкий рост.
[05:21-05:24] Speaker 0:  Одни из них <unk> это девочки, которые занимаются вязанием.
[05:24-05:33] Speaker 0:  Они просто выходят в международный рынок и меня спрашивают, в какой, короче, резиденции по миру открыть сейчас новые счета, потому что мы расширяемся на международный рынок.
[05:32-05:33] Speaker 0:  Я говорю, что?
[05:34-05:35] Speaker 0:  Они говорят, да, вяжем.
[05:35-05:36] Speaker 0:  Я говорю, а что вы продаете?
[05:36-05:37] Speaker 0:  Они говорят, вязание.
[05:38-05:39] Speaker 0:  Я говорю, в каком смысле?
[05:39-05:42] Speaker 0:  Они говорят, во всех.
[05:40-05:42] Speaker 0:  Мы продаем как вязать.
[05:42-05:46] Speaker 0:  Мы, короче, делаем предпринимателей, которые да, вот тоже с хобби.
[05:46-05:46] Speaker 0:  Да, да, да.
[05:46-05:51] Speaker 0:  Вот значит, мы продаем, как вязать, и девочки вяжут свитера.
[05:51-05:54] Speaker 0:  Говорит, у нас, говорит, просто бешеный рост, мы расширяемся на другие рынки.
[05:54-05:57] Speaker 0:  То есть помимо России на другие рынки у нас очень мощный рост.
[05:57-06:00] Speaker 0:  Я прям пожимаю плечами и говорю, слушайте, как я за вас рад.
[06:00-06:02] Speaker 0:  Так вот, ребят, что я наблюдаю сейчас?
[06:02-06:12] Speaker 0:  Что из 20 человек Из 20 человек, кто так сидит передо мной, у 18 на грани или они верят в лучшее, а пока близки к косовому разрыву.
[06:11-06:16] Speaker 0:  вот на грани с как бы предбанкротным состоянием и двое, которые говорят, плевать хотели на все, что происходит.
[06:16-06:18] Speaker 0:  Вот так, короче, растем.
[06:18-06:22] Speaker 0:  Мы прямо на волне сейчас, вот и вы, ну и, короче. Выстреливаем вверх.
[06:22-06:23] Speaker 0:  И последнее вводное.
[06:23-06:28] Speaker 0:  Значит, недавно я был на мероприятии, которое посвящено конкретно онлайн-образованию.
[06:28-06:32] Speaker 0:  И там был один из представителей, который следит за финансами очень наглядно.
[06:32-06:34] Speaker 0:  Это компания Продамус.
[06:34-06:39] Speaker 0:  И у них есть показатели по рынку, как глобально чувствует себя рынок.
[06:39-06:42] Speaker 0:  Вот как глобально чувствовать себя рынок, например, онлайн-предприниматель. Например.
[06:42-06:44] Speaker 0:  И он произносит такую фразу.
[06:44-06:50] Speaker 0:  Он говорит, вот вы сейчас многие плачетесь, что что-то странное с бизнесом происходит, что рынок падает.
[06:50-06:52] Speaker 0:  А у нас есть показатель.
[06:52-06:55] Speaker 0:  Все деньги наших клиентов.
[06:55-06:55] Speaker 0:  Что это означает?
[06:55-07:02] Speaker 0:  У них финансовая структура, но они принимают платежи, и они видят, сколько денег, а они B2B ориентированы.
[07:02-07:04] Speaker 0:  Вот наши клиенты через нас проводят сейчас.
[07:04-07:07] Speaker 0:  То есть вот суммарная выручка по всем клиентам.
[07:07-07:09] Speaker 0:  Вот он говорит, я вам вот что хочу сказать.
[07:09-07:13] Speaker 0:  Что рынок в целом, внимание, растет.
[07:13-07:26] Speaker 0:  То есть то, что вам сейчас иногда кажется, что что-то произошло, и рынок резко претерпевает мощные изменения, консолидация, переоформление и так далее, говорит, имейте в виду, если рынок и падает, будьте внимательны к тому, в чьи руки он падает.
[07:26-07:35] Speaker 0:  Так вот эта механика, в чьей руке сейчас падает рынок, это люди очень гибкие, быстро вот эти вот, ну, в воздухе переобывающиеся.
[07:35-07:35] Speaker 0:  быстро
[07:36-07:54] Speaker 0:  меняющие бизнес-модели, то есть такие гибкие такие вирусные такие бактерии, которые с огромной скоростью адаптируются к новым водным, бы И в ближайший вот прям квартал или максимум полгода резко переориентируются на растущие тренды, сократятся, пересядут на какие-то новые возможности и будут лезть вверх.
[07:53-07:57] Speaker 0:  Вот у меня прямо сейчас именно эта агрессивная стратегия.
[07:57-08:03] Speaker 0:  Я прямо сейчас, я вот здесь Петя и Наташа, я вместе с ней прямо сейчас эту стратегию воплощаю.
[08:02-08:13] Speaker 0:  Вот именно в эту модель приглашаю сейчас и вас, ребята, вот аккуратненько пересобраться и 2026 год сфокусироваться на рост, на такую вот агрессивную пересборку и рост.
[08:13-08:17] Speaker 0:  Значит, чем я могу вас поддержать, это персональными настройками.
[08:18-08:21] Speaker 0:  Для этого сегодня здесь роман.
[08:21-08:25] Speaker 0:  Это человек, который будет вашим трекером.
[08:25-08:28] Speaker 0:  И мы соизместим всего две задачи.
[08:28-08:33] Speaker 0:  Первое <unk> это ваши персональные сейчас фокусы на год. Ребята, внимание.
[08:33-08:35] Speaker 0:  Это сейчас уже про вас.
[08:35-08:42] Speaker 0:  Артур, Семен, Игорь, Медея, Дима, Евгений, Андрей, значит, Артем, ребята, это сейчас про вас.
[08:42-08:47] Speaker 0:  Сейчас мне будет очень важно выяснить вашу фокусировку на год.
[08:47-08:49] Speaker 0:  Роман, если что, уточнит.
[08:49-08:51] Speaker 0:  Мы это будем супер внимательно мониторить.
[08:51-08:59] Speaker 0:  То есть, пожалуйста, сейчас, когда будете разговаривать, сейчас мы каждому из вас будем давать микрофон, четко озвучивайтесь, с какой проблемой столкнулись.
[08:58-09:04] Speaker 0:  Какую задачу решаете, какие амбиции на этот год, какая фокусировка максимально трезво и реалистична.
[09:04-09:07] Speaker 0:  То есть ровно то, что сейчас наиболее актуально.
[09:08-09:10] Speaker 0:  Мы это фиксируем прям как ТЗ для нас.
[09:10-09:13] Speaker 0:  То есть как вот я же с личностями работаю.
[09:13-09:15] Speaker 0:  Я буду вас супер внимательно слушать.
[09:15-09:21] Speaker 0:  Фиксировать все, мы это делаем под запись и помогать вам потом ровно в том, что вы сейчас заявите.
[09:21-09:24] Speaker 0:  Ребята, кивните мне головой, кто сейчас меня внимательно слушает.
[09:25-09:39] Speaker 0:  То есть сейчас мне скажите, над чем работаете, а дальше мы с вами, я, плюс наша команда в лице Романа и те, кто мне помогает, плюс все те, с кем дальше мы вместе вот в этом небольшом мастер-майнде, в этой группировке за единым столом, будем решать задачи.
[09:38-09:44] Speaker 0:  Мы будем держать в голове именно эту задачу и на нее фокусироваться, и вам помогать ее решить.
[09:44-09:51] Speaker 0:  И на это выделим ближайшие несколько месяцев, чтобы этой командой, этой группировкой пересобраться и двигаться вперед.
[09:50-09:53] Speaker 0:  Как вам, собственно говоря, вход?
[09:53-09:55] Speaker 0:  Понятна ли вообще идея сейчас, что мы с вами делаем?
[09:55-09:57] Speaker 0:  Норм, да, дайте мне обратную связь, пожалуйста.
[09:57-10:00] Speaker 0:  Если есть какие-то вопросы, задавайте.
[09:59-10:09] Speaker 0:  Если нет, то я сейчас передаю Наташе микрофон, потому что я иногда экспертно начинаю выступать, и это превращается в экспертизу, она нам сейчас не обязательна.
[10:09-10:18] Speaker 0:  Нам сейчас очень важно вас услышать, кто сейчас над чем работает, чтобы мы потом могли кучкой друг на друга работать и помогать решить ту задачу, которая сейчас наиболее актуальна.
[10:18-10:20] Speaker 0:  Вот поэтому сейчас Наташа сделает действие номер один.
[10:20-10:22] Speaker 0:  Она от каждого получит короткий ответ.
[10:22-10:24] Speaker 0:  Он у меня уже есть.
[10:24-10:27] Speaker 0:  И у меня есть сейчас заметочка, где лежат ваши ответы.
[10:27-10:30] Speaker 0:  Да, вот вы их просто озвучите, расставляя акценты.
[10:30-10:34] Speaker 0:  Я их прям внимательно прочитаю, и интонации ваши послушают, то есть кто над чем работает.
[10:34-10:41] Speaker 0:  Вот в том числе это сделают Роман и Наташа, то есть мы соберем, и все остальные услышат от вас вот эту расстановку акцентов.
[10:40-10:43] Speaker 0:  Это будет полностью односторонняя такая механика быстрая.
[10:43-10:46] Speaker 0:  То есть прямо вот потом 1-2 минутки на каждого мы прям соберем.
[10:46-10:52] Speaker 0:  А после этого Покопаем вот эти детали, постараемся выяснить друг у друга, кто над чем работает.
[10:52-10:55] Speaker 0:  И у нас с вами будет некий такой профайл, где мы будем понимать, о чем речь.
[10:55-10:57] Speaker 0:  Вы можете всегда к нему обратиться.
[10:57-11:11] Speaker 0:  Вот, о ком-то вы будете знать просто персонально лично, роман в вашем распоряжении, да, чтобы мы могли там восстановить вот этот трек каждого, и будем на каждого, собственно говоря, работать и постараемся выправить этот 26-й год, так чтобы вы попали в эти 10%.
[11:09-11:17] Speaker 0:  Те, кто захватит этот быстро меняющийся рынок, а не вот это ой-ой-ой что-то у меня, короче, все поменялось. Поздравляю, поменялось.
[11:17-11:21] Speaker 0:  Ты какие решения принимаешь и как ты быстро реагируешь?
[11:20-11:22] Speaker 0:  Так, Наташа, возвращаю микрофон.
[11:22-11:24] Speaker 0:  Что там я вижу в чате несколько сообщений? Спасибо, прошу.
[11:25-11:27] Speaker 0:  Все, да, Наташа, микрофон тебе.
[11:27-11:31] Speaker 1:  Так, друзья, я сегодня выступлю модератором для того, чтобы мы.
[11:31-11:36] Speaker 1:  2-2,5 грядущих часа максимально продуктивно провели каждый из участников.
[11:37-11:38] Speaker 1:  Мы пройдем с вами 4 этапа.
[11:38-11:41] Speaker 1:  Возможно, кто-то в чате в канале их видел. Первый этап.
[11:41-11:43] Speaker 1:  На него я закладываю 20 минут.
[11:43-11:45] Speaker 1:  То есть по 2 минутки каждому коротко представится.
[11:45-11:51] Speaker 1:  Сейчас по очереди буду передавать микрофон, называть человека и просить ваш запрос озвучить. Наташ.
[11:51-11:56] Speaker 0:  Нужно ли мне сделать кружочек в какой-то там шобщий час, что мы в работе, чтобы просигналить последним отстающим?
[11:57-11:59] Speaker 1:  Сделай там два отстающих. Ну, сделай.
[11:59-12:00] Speaker 0:  А какой наш это?
[12:02-12:04] Speaker 1:  Сделай контент, я разберусь потом.
[12:05-12:07] Speaker 0:  И ты бросишь в контент?
[12:07-12:11] Speaker 0:  В контент ездил, да? Все хорошо. Ага. Первый этап.
[12:11-12:13] Speaker 1:  20 минут на знакомство.
[12:13-12:18] Speaker 1:  Важно не только, ну, как Паша сейчас уже сказал, не только экспертиза, но и окружение.
[12:18-12:22] Speaker 1:  Очень важно, слушайте внимательно друг друга, слушайте внимательно запросы.
[12:22-12:22] Speaker 1:  Вы,
[12:22-12:27] Speaker 1:  скорее всего, в запросах многих кого-нибудь как минимум узнаете себя.
[12:27-12:36] Speaker 1:  И дальнее в дальнейшей работе вы можете завадиться, обмениваться, наращивать социальный капитал более гибко и глубоко внутри комьюнити.
[12:36-12:41] Speaker 1:  Второй этап, по 10 минут на каждого, тоже я по очереди буду передавать микрофон.
[12:42-12:44] Speaker 1:  И третий этап уже..
[12:44-12:48] Speaker 1:  более такая свободная форма присвоения инсайтов, рефлексия.
[12:48-12:57] Speaker 1:  Тоже у каждого уточню, там опять по 7 минут на человека, с чем выходит, что самое полезное взял, приземлим это и продолжим в свободной форме, если. Останется время.
[12:57-12:58] Speaker 1:  Вот такой у меня план на сегодня.
[12:58-13:02] Speaker 1:  Поэтому я готова начинать. Давайте.
[13:02-13:04] Speaker 2:  А первые, это которые в.
[13:04-13:10] Speaker 2:  В чате нужно было этот вопрос сейчас представить, да?
[13:10-13:11] Speaker 2:  Вот это по запросу.
[13:11-13:13] Speaker 1:  Ну зачем вы здесь, да?
[13:13-13:13] Speaker 1:  Простой очень вопрос.
[13:14-13:17] Speaker 1:  Давай Джень с себя и начнем, просто микрофон включила.
[13:17-13:22] Speaker 1:  Давай, Женя, ты не новичок, Артем не новичок. Давай. Попала, извиничка.
[13:22-13:24] Speaker 1:  Давай Давай, Женя, две минутки тебе.
[13:24-13:29] Speaker 1:  Коротко представься, пожалуйста, чем занимаешься, с каким запросом здесь сегодня, чем тебя поддержать.
[13:30-13:31] Speaker 2:  Я не удачу.
[13:31-13:33] Speaker 0:  Сейчас, сейчас, сейчас, секундочку, подожди, секундочку, я сверю.
[13:33-13:38] Speaker 0:  Значит, Наташа, а у меня в замешке есть, я хочу понять, туда ли двигаюсь, какую выбрать скорость подсветить слабые стороны.
[13:38-13:40] Speaker 4:  Это Жень, твой запрос, да?
[13:40-13:44] Speaker 0:  Все, давай, ты его же аккуратно озвучиваешь, а я как бы наделяю это тоже энергией.
[13:46-13:49] Speaker 2:  Я живу в Самарской области, маленький городок, Чапаевск.
[13:49-13:54] Speaker 2:  У меня линейный бизнес туристический, 22 года уже.
[13:54-14:01] Speaker 2:  Я поняла в какой-то момент, это полтора примерно года назад, что я выиграла и уже не хочу этим заниматься.
[14:02-14:10] Speaker 2:  Я сейчас оставила это В свободном, ну, примерно плавании, он дает доход.
[14:10-14:15] Speaker 2:  И с сентября этого года я ушла в новое направление.
[14:14-14:16] Speaker 2:  Именно тема здоровья.
[14:17-14:20] Speaker 2:  За два месяца я хорошо стартанула.
[14:20-14:22] Speaker 2:  Это другой бизнес.
[14:22-14:25] Speaker 2:  25-й год для меня был годом.
[14:26-14:32] Speaker 2:  таким завершающим каких-то многих циклов и внешних и внутренних.
[14:32-14:36] Speaker 2:  Я поняла, что я хочу, куда я хочу двигаться.
[14:36-14:40] Speaker 2:  И в 26 году мне важно сейчас понять правильно.
[14:40-15:02] Speaker 2:  сформулировать цели, почувствовать вот этот отклик телесный, куда я движусь, и вот эти правильно сформулировать, наверное, шаги, мне важно, чтобы по чтобы дойти в ту точку, которую я наметила.
[15:02-15:12] Speaker 2:  Она у меня есть, я точно понимаю, что я хочу в двадцать в декабре двадцать шестого года, поэтому мне нужна помощь.
[15:12-15:17] Speaker 2:  После озвучки моих шагов, ну, вот какая-то корректировка, наверное.
[15:17-15:19] Speaker 2:  В принципе, все.
[15:19-15:27] Speaker 1:  Спасибо, Женя, уложилась. Паша зафиксировала. Рома, вижу. Все. Супер. Арт<unk>м, прошу.
[15:27-15:29] Speaker 1:  А старички рвут собой. Приветствую.
[15:29-15:32] Speaker 3:  Я Арт<unk>м Караваев.
[15:31-15:38] Speaker 3:  Мой бизнес в том, что я наставник и коуч по развитию личности и денежному росту.
[15:38-15:46] Speaker 3:  И я как раз просту сейчас в своем бизнесе достаточно активно, начиная с октября прошлого года.
[15:45-15:55] Speaker 3:  Я сделал для себя два рекордных запуска курса на 550 тысяч и сразу же после этого на 850. Это оборот.
[15:55-15:59] Speaker 3:  И я хочу расширить свой масштаб проявленности.
[15:59-16:09] Speaker 3:  В это понятие я вкладываю следующее: то есть хочу запускать марафон уже на 500 человек, потому что в прошлом году я запустил на 100.
[16:10-16:21] Speaker 3:  Хочу создать ступенчатую систему обучения, в которой я смог бы удерживать людей в своем поле как можно дольше, чтобы они по этим ступенькам двигались.
[16:21-16:43] Speaker 3:  развивались и хочу сохранить личную работу с клиентами на дорогом тарифе хотя бы 1-3 человека вход брать в личную работу Для меня сейчас важно на этой практике расширения освоить ту методологию, про которую Павел рассказывал несколько раз.
[16:42-16:52] Speaker 3:  Когда у меня есть адрес в навигаторе и свет фар, я хочу именно по этой методологии пройти и почувствовать вот это расширение.
[16:52-16:54] Speaker 3:  Вот мне в этом нужна поддержка.
[16:54-16:57] Speaker 3:  Понять, как эта методология работает.
[16:56-17:02] Speaker 3:  Когда я вместо плана пошагового держу в голове только два параметра.
[17:02-17:07] Speaker 3:  Вот этот адрес, и то, что есть сейчас передо мной.
[17:07-17:15] Speaker 3:  Я хочу максимально соединить в этой проявленности три своих самых сильных роли, которые обнаружил на потоке Еще два года назад.
[17:15-17:19] Speaker 3:  Это роль математик-программист международного уровня.
[17:19-17:25] Speaker 3:  Я участник чемпионата мира и в разное время занимал места со второго по 19 в мире.
[17:25-17:30] Speaker 3:  Я наставник и коуч по развитию личности, считаю себя сильным человеком.
[17:30-17:35] Speaker 3:  У меня 2000 часов налета личной работы.
[17:35-17:39] Speaker 3:  И я писатель художественной литературы. Спасибо, Артем. Время.
[17:40-17:41] Speaker 1:  Успел сказать свой запрос?
[17:41-17:44] Speaker 1:  Освоить метод светфары адрес навигатора, верно?
[17:45-17:49] Speaker 3:  Да, именно на этой своей практике. Спасибо, Артем. Поехали дальше.
[17:49-17:55] Speaker 1:  Ребята, если кто-то готов, отжимайте микрофон. Я готова. Давай, Медведь. Всем привет.
[17:55-17:56] Speaker 4:  Меня зовут Медея.
[17:56-17:58] Speaker 4:  Это моя настоящая тема, если что.
[17:58-18:08] Speaker 4:  Я занимаюсь эзотерикой, но я ей вообще занимаюсь уже довольно давно, но как профессия, это моя там с октября, с сентября, с августа я просто стала.
[18:08-18:16] Speaker 4:  брать за это деньги, а не просто людям делать какие-то расстановки, гадать на картах просто там, не знаю, за пироженку.
[18:16-18:20] Speaker 4:  И я вдруг поняла, что это вообще-то классная золотая ниша, ее классно развивать.
[18:20-18:25] Speaker 4:  И сейчас я запустила мини-продукт онлайн, когда я людям.
[18:24-18:41] Speaker 4:  Вытаскиваю карту дня, и они мне задают на ночь, то есть они перед вс<unk>м в основном просто люди из России или там вообще из Европы, они мне вечером наговаривают вопрос И я им стаю карту и говорю им какое-то послание от этой карты.
[18:41-18:47] Speaker 4:  И изначально я думала, что это будут какие-то типа изи вопросы из серии, там, ехать ли не в отпуск.
[18:47-19:11] Speaker 4:  А сейчас это такие типа жизнеутверждающие вопросы серии запускать ли мне канал менять ли мне там не знаю жизнь разводиться ли мне с мужем переезжать ли мне там в другой город и я вдруг понимаю что это может вырасти реально крутой проект и я бы хотела сейчас сконцентрироваться на этом развитии, делать такое, типа а-ля маракон, но там уже не для 10 человек, не для 15, а там типа для ста.
[19:11-19:18] Speaker 4:  И также у меня есть супер запрос на развитие моего инстаграма, потому что все мои клиенты приходят ко мне из Инстаграма в основном.
[19:18-19:23] Speaker 4:  Из моего мини-канала, там на 110 человек, тоже приходят люди.
[19:23-19:27] Speaker 4:  И у меня много разных запросов приходит от людей.
[19:27-19:33] Speaker 4:  В основном это как раз работа с турбулентностью сил и в основном работа с какими-то энергоштук.
[19:33-19:35] Speaker 4:  Чем тебе помочь, чем тебя поддержать?
[19:35-19:47] Speaker 4:  Поддержать, наверное, в том, чтобы не разбиваться на тысячи проектов, а вот сосредоточиться на одном проекте с картой дня.
[19:47-19:53] Speaker 4:  и масштабировать его, и фигачить его, потому что я прям почувствовала, что в этом есть много ресурса и запроса.
[19:54-20:04] Speaker 4:  Вот, и, наверное, ну да, вот как бы мне нужна прям помощь в развитии этого проекта, чтобы сделать его таким классным, большим международным. Спасибо. Хочешь сфокусироваться? Слышу. Спасибо.
[20:04-20:07] Speaker 1:  Как раз уложились две минутки.
[20:07-20:08] Speaker 1:  Так, ребят, кто следующий смелый?
[20:09-20:11] Speaker 1:  Давайте, а то буду вызывать как учитель доски.
[20:12-20:14] Speaker 1:  Как вы у меня по порядку есть? Давай, Семен.
[20:15-20:18] Speaker 5:  Добрый день, меня зовут Семен.
[20:18-20:21] Speaker 5:  У меня кофейни в Иваново сейчас.
[20:21-20:31] Speaker 5:  Сеть кофеин, и я последние полгода занимался тем, что оптимизировал там, низкоринтабельно закрывал, как раз-таки оптимизировал свой бизнес.
[20:31-20:33] Speaker 5:  Есть проект на маркетплейсах.
[20:33-20:36] Speaker 5:  Тоже там продаем.
[20:35-20:46] Speaker 5:  Товары раньше много разных продавались, сейчас тоже оптимизировались до конкретных, очень маржинальных и сфокусировались на развитии этого проекта.
[20:49-20:55] Speaker 5:  То есть хочу здесь запустить все, что никак не стартану.
[20:55-20:58] Speaker 5:  Вот несколько месяцев уже никак не заведем.
[21:00-21:11] Speaker 5:  Есть, я также наставник как коуч-предпринимателей, но там очень нравится быть, очень нравится заниматься, очень нравится личная работа, очень нравится результат своих.
[21:11-21:34] Speaker 5:  Наставляем их, но слишком подаем какий процесс, поэтому больше как мы все таким бизнесом склоняюсь, как Marketplace, где команда работает и делает Результаты графини тоже, которые, собственно, работают самостоятельно с управляющими. Есть много..
[21:34-21:45] Speaker 5:  А, я отец, это очень важно, я очень много сейчас отец, я долго ждал и к этому очень серьезно отношусь, очень много времени провожу сыном.
[21:44-21:52] Speaker 5:  И также постоянно есть много новых идей, новых проектов международных и все в зачатках, в заготовках.
[21:52-22:00] Speaker 5:  И кажется, каждый раз, когда смотрю на каждый из новых проектов, что у каждого большое будущее.
[22:00-22:03] Speaker 5:  Но что-то вот никак не заведу, никак.
[22:04-22:10] Speaker 5:  Короче, притрагиваюсь к ним, начинаю что-то делать и завязываю, бросаю, короче, отвлекаюсь.
[22:10-22:20] Speaker 5:  Вот нужна помощь в том, чтобы дожимать свои цели, короче, добиваться результатов, то есть отсекать какие-то ненужные, может быть, вещи и фокусироваться на нужных.
[22:21-22:26] Speaker 5:  Очень много идей и очень хочется их реализовать.
[22:26-22:29] Speaker 5:  Почему-то не хватает. Спасибо, Семен.
