Date: 2025-12-29T21:14:25Z
Duration: 159m 1s

[01:01-01:04] Ivan Belyankin:  Вроде все запустилось.
[06:24-06:39] Denis Sh:  Тех мыслей, которые у меня есть на душе, да, то есть, вот куда я смотрю, потому что я вижу реально цель следующего года - в объединении, взаимопомощи, поддержке - причем не поддержки, потому что я так хочу, а потому что.
[06:38-06:42] Denis Sh:  Вот в мои личные стороны, помнишь, мне объяснило слово, что такое ценность?
[06:42-06:44] Denis Sh:  Это принадлежность к группе.
[06:45-06:52] Denis Sh:  Мне это так сильно заложилось в голову, в память в целом, и я с этим пытаюсь разобраться.
[06:52-06:59] Denis Sh:  Давай разберемся сегодня со всеми ребятами в этой теме и попробуем нащупать. Спасибо.
[06:59-07:04] Павел Кочкин:  Ну, во-первых, Денис, тебе огромное спасибо за то, что ты свою компетенцию включил.
[07:04-07:12] Павел Кочкин:  Все, что связано с тусовкой, собрать людей, организовать, оповестить, это тоже огромная работа, которую я никогда не любил.
[07:12-07:13] Павел Кочкин:  Мне всегда было скучно.
[07:13-07:16] Павел Кочкин:  Это было, кстати, нашим предметом знакомства с Денисом.
[07:16-07:27] Павел Кочкин:  Когда мы с господином Угловым встретились на мероприятии, и я подошел к Денису и говорю, Денис, говорю, а, даже не так, в тусовке спрашиваю, говорю, слушайте, готов отдельно сесть?
[07:26-07:28] Павел Кочкин:  За небольшой столик.
[07:28-07:36] Павел Кочкин:  У кого есть задача, ребята, хорошего эффективного роста и работы в этом году, давайте отдельно небольшим столиком соберемся.
[07:34-07:37] Павел Кочкин:  И мы стояли в кругу, и нас начали люди потихонечку облеплять.
[07:38-07:41] Павел Кочкин:  И я говорю, Денис, говорю, а дождя, у кого эта компетенция есть?
[07:41-07:43] Павел Кочкин:  Денис говорит, Паша, у меня есть эта компетенция, давай я.
[07:43-07:46] Павел Кочкин:  Сейчас чат создам, сейчас, короче, соберем и так далее.
[07:46-07:52] Павел Кочкин:  Ровно тогда Денис продемонстрировал, что он на самом деле с большим удовольствием и очень качественно и красиво собирает вокруг людей, правильно.
[07:52-07:57] Павел Кочкин:  А я, со своей стороны, готов всю науку на тему того, откуда берется топливо.
[07:56-08:02] Павел Кочкин:  для суперэффективного, качественного, органичного роста я с удовольствием в это пространство вливаю.
[08:02-08:07] Павел Кочкин:  Денис берет на себя вот эту организационную часть, такую душевную, которая за этим стоит, такую очень честную.
[08:07-08:13] Павел Кочкин:  А я с удовольствием помогу экспертизой 20 лет опыта в этом направлении в это пространство отдам.
[08:13-08:18] Павел Кочкин:  Кстати, сейчас у нас с Денисом и вообще предметы этой встречи ровно то же самое происходит.
[08:18-08:30] Павел Кочкин:  Мы так друг с другом посвящавшись, решили, что тоже в этом году хотим какую-нибудь небольшую тусовку, в которой будет довольно-таки технологичная и профессиональная механика поддержки друг друга.
[08:30-08:31] Павел Кочкин:  И плюс методика.
[08:31-08:39] Павел Кочкин:  Вот то, что так нравится ребятам Boyne-Saint-Seма Паша Кочкина про самоопределение, про понимание сильных сторон, про систему ценностей, про таланты.
[08:39-08:45] Павел Кочкин:  Объединить и сформировать потенциальный небольшой стол, за которым будем сидеть и друг другу помогать на старте этого года.
[08:45-08:48] Павел Кочкин:  И там ближайшее начало несколько месяцев.
[08:48-08:51] Павел Кочкин:  объединиться небольшим кругом и прям полноценно работать.
[08:51-08:54] Павел Кочкин:  Скажите, кстати, кому вообще было бы интересно с таким столом посидеть?
[08:54-08:56] Павел Кочкин:  Просигнать ли в чат?
[08:56-08:59] Павел Кочкин:  В прошлый раз мы, когда с Денисом это создали, плюсик поставьте.
[09:00-09:09] Павел Кочкин:  В прошлый раз, когда мы это создали, мы отбежали в сторону, сели и обнаружили, что вокруг бегает очень много людей, которые хотят рядом посидеть, но мы на это не согласны.
[09:08-09:22] Павел Кочкин:  Нам нравится история, что вы готовы зучить рукава, быть вкладом вот в это пространство за столом, сами решим, короче, с кем это делать, и это абсолютно закрытая форма, внутри которой сами друг на друга посмотрим и скажем, ну что, вот этим составом пробуем или нет.
[09:22-09:24] Павел Кочкин:  И я сегодня вижу кучу своих друзей.
[09:24-09:28] Павел Кочкин:  Андрей, Женя, вот всем большой привет.
[09:28-09:30] Павел Кочкин:  Очень рад вас видеть, ребята.
[09:30-09:41] Павел Кочкин:  Для меня, конечно, невероятно ценно, что вы своим присутствием здесь часть того самого пространства, с кем мы вместе сидели за столом, друг другу все-таки помогали.
[09:40-09:48] Павел Кочкин:  Сколько часов там и вечеров мы провели вместе, гуляя по Буэнес-Айросу, раскручивая друг другу задачи из головы, которые в одно лицо невозможно обсуждать?
[09:48-09:52] Павел Кочкин:  Ну, честно говоря, я не знаю, в часах очень сложно передать.
[09:52-09:53] Павел Кочкин:  Я сейчас вижу этих людей, да, вот вижу.
[09:53-09:55] Павел Кочкин:  И один Андрей, и другой Андрей, да.
[09:55-09:56] Павел Кочкин:  Сколько это было?
[09:56-09:59] Павел Кочкин:  Шашлыка съедено за обсуждением, как же дальше быть.
[09:59-10:04] Павел Кочкин:  Вот очень хочу опять в это небольшое пространство, а под присмотром Дениса она очень красивая.
[10:04-10:09] Павел Кочкин:  Поэтому сегодня такая встреча, где мы с вами поднимаем вопрос, кому это вообще ценно актуально.
[10:09-10:12] Павел Кочкин:  Я на пределе своих мощностей работаю сегодня для вас. Только.
[10:12-10:17] Павел Кочкин:  То есть у меня нет никакой задачи сегодня какой-то вам презентовать контент или там что-то объяснить.
[10:17-10:19] Павел Кочкин:  Только поводу ваши запросы.
[10:19-10:22] Павел Кочкин:  Если вас каким-то образом привлекла сегодня тема целеполагания.
[10:22-10:25] Павел Кочкин:  Когда-то Денис сказал, Паша, у меня есть вопросы к тебе на эту тему?
[10:25-10:26] Павел Кочкин:  Я сказал, серьезно, какие?
[10:26-10:27] Павел Кочкин:  Он говорит, точно есть.
[10:27-10:29] Павел Кочкин:  И, наверное, не только у меня.
[10:29-10:33] Павел Кочкин:  И вот мы в прошлом году собрались, и оказалось, что это очень востребованная тема.
[10:33-10:35] Павел Кочкин:  Сегодня также, пожалуйста.
[10:34-10:36] Павел Кочкин:  Настройте мне, ребята, на работу.
[10:36-10:39] Павел Кочкин:  У меня есть маленькая заготовка, если хотите, я могу с нее начать.
[10:39-10:41] Павел Кочкин:  Или мы можем начать с ваших вопросов.
[10:41-10:44] Павел Кочкин:  Значит, маленькая заготовка как выглядит?
[10:43-10:48] Павел Кочкин:  Я не только для своих друзей из Буэнос-Айреса с этой темой тут на днях выступил.
[10:48-10:51] Павел Кочкин:  У нас было сообщество <unk>Миллиард в бане<unk>, где я только что выступал.
[10:51-10:53] Павел Кочкин:  Вот, довольно-таки интересные парни.
[10:52-10:59] Павел Кочкин:  Вот, еще недавно для предпринимателей, с кем мы едем в страны Персидского залива на Круизе.
[10:59-11:00] Павел Кочкин:  Кстати, если вдруг хотите, приглашаю.
[11:01-11:03] Павел Кочкин:  Мы едем на этот, как там, в Дубае, Саммит.
[11:03-11:09] Павел Кочкин:  Который Гриш Аветов делает, где будет Дэвид Кэмерон выступать, и такой огромный саммит дубайский.
[11:09-11:10] Павел Кочкин:  Вот, мы едем туда, едем и круиз.
[11:10-11:13] Павел Кочкин:  Я для них там вчера выступал с этой темой.
[11:12-11:13] Павел Кочкин:  Тема очень простая.
[11:14-11:25] Павел Кочкин:  Какие параметры планирования помогут вам план сделать вкусным, красивым, интересным, а не вот этим формальным, который потом можно выкинуть и который только грусть вызывает от того, что непонятно, как ты его дашь смотреть.
[11:25-11:26] Павел Кочкин:  Низ, как поступим?
[11:26-11:31] Павел Кочкин:  С этой маленькой выжимки такой или сразу с вопросов ребятам? Как лучше?
[11:32-11:34] Denis Sh:  Давай немножко вводной сделаем вот этой выжимке.
[11:34-11:37] Denis Sh:  Она поможет нам включить всех ребят.
[11:37-11:40] Denis Sh:  И на основе них уже запросы подсоберем. Договорились.
[11:40-11:41] Denis Sh:  Тогда я расшарю экран.
[11:41-11:45] Павел Кочкин:  У меня есть кусочек, который я сейчас опубликую.
[11:45-11:53] Павел Кочкин:  И Так, почему-то в экранах нет участия экрана.
[11:53-11:54] Павел Кочкин:  Здесь только окно приложения.
[11:54-11:56] Павел Кочкин:  Ну ладно, бог всем можно тогда и так.
[11:56-11:59] Павел Кочкин:  Интересно, у этого зума нет настройки, часть экрана зашарит.
[11:59-12:02] Павел Кочкин:  Ну ладно, вот смотрите, вот в таком формате.
[12:02-12:06] Павел Кочкин:  Не знаю почему, но вот они. Фокус года.
[12:06-12:11] Павел Кочкин:  Это вот четыре слайда, буквально, которые я тут недавно для других ребят делал.
[12:11-12:12] Павел Кочкин:  Они вам тоже подойдут.
[12:12-12:14] Павел Кочкин:  Значит, если кто-то не в курсе.
[12:14-12:19] Павел Кочкин:  Вот методика, которую все те, кто меня давно знают, знают просто наизусть.
[12:19-12:27] Павел Кочкин:  То есть это механика, куда я буду окнунать лицом постоянно, и ответ на вопрос, кто я как себя реализовать и почему у меня будет куча энергии и сил.
[12:28-12:35] Павел Кочкин:  В этот момент я все время буду вот сюда вас тыкать и говорить, первая стадия, вторая, третья, четвертая.
[12:35-12:37] Павел Кочкин:  Будете знать очень хорошо.
[12:36-12:43] Павел Кочкин:  что происходит каждая вот эта строчка, пока это выглядит как такой некий туманчик, на самом деле это 20 лет работы.
[12:43-12:46] Павел Кочкин:  Вот кто в курсе вот этой штуки?
[12:46-13:01] Павел Кочкин:  Есть есть кто-нибудь, кто давно в методике и знает, о чем речь, поставьте циферку 4, остальные поставьте минус, я хочу сориентироваться. Да, начать.
[13:01-13:04] Павел Кочкин:  То есть кто давно в теме, а кто..
[13:04-13:06] Павел Кочкин:  Ну вот, то есть нас.
[13:08-13:12] Павел Кочкин:  Треть, наверное, тех, кто хорошо знает, о чем речь, и две трети, кто не знает.
[13:12-13:14] Павел Кочкин:  Тогда, ребят, короткое видение.
[13:14-13:22] Павел Кочкин:  А вот эта механика - это четыре этапа поиска дела жизни, на которые я положил 20 лет своей жизни.
[13:22-13:34] Павел Кочкин:  То есть это полностью отработанная механика, переведенная на разные языки, откритикованная разным научным сообществом, бизнесовым сообществом, и она полностью выдерживает критику психологов, философов. разных религий.
[13:34-13:42] Павел Кочкин:  Вот именно эту механику мы с вами будем осваивать, если вдруг вы захотите быть соединенной с собой и с говорящими глазами двигаться вперед.
[13:42-13:45] Павел Кочкин:  Вот те, кто со мной учились, они знают каждую строчку.
[13:45-13:51] Павел Кочкин:  Вот это вот мешает обстоятельства ответственности свобода, и вот этот лось нарисованный, это прям все хиты.
[13:51-13:56] Павел Кочкин:  Вот этот зеленый маркер, скоро вы настолько будете в этом в теме, если вы вдруг решите по этому пути пройтись.
[13:56-13:59] Павел Кочкин:  Вот это каждая строчка на миллион долларов.
[13:59-14:04] Павел Кочкин:  Но сегодня у нас с вами вот такая тема. Ошибки планирования.
[14:04-14:12] Павел Кочкин:  Вот эти первые три самые такие тупые и самые яркие, и это прям вот сливки, такой топчик.
[14:11-14:12] Павел Кочкин:  самых грубых ошибок.
[14:12-14:16] Павел Кочкин:  Значит, обратите внимание, первая проблема, самая большая, вот это.
[14:16-14:26] Павел Кочкин:  При постановке целей вместо с марта, когда вы интеллектом что-то делаете, оказывается, можно работать телом.
[14:24-14:25] Павел Кочкин:  Что это означает?
[14:25-14:33] Павел Кочкин:  Напоминаю, Черниговская, доктор наук, профессор, академик, который мозгом занимается, дает нам такую подсказку.
[14:33-14:34] Павел Кочкин:  Ребята,
[14:34-14:48] Павел Кочкин:  в следующий раз, когда планы будете строить на 2026 год, Если вы будете это делать из интеллекта, напоминаю, интеллект занимает постыдную роль в принятии решений. Можно пренебречь.
[14:48-14:50] Павел Кочкин:  Давайте я вам в чат напишу.
[14:50-15:09] Павел Кочкин:  Чтобы вам прям было грустно от этого, итак, интеллект занимает постыдную роль в принятии решений. Можно пренебречь.
[15:09-15:14] Павел Кочкин:  Как вам водно от доктора наук профессора академика, который мозгом занимается?
[15:14-15:18] Павел Кочкин:  Вы хотите решение принять, чем вообще прицельно заниматься в двадцать шестом году?
[15:18-15:43] Павел Кочкин:  какой-то вот ну приоритеты расставить и тут вам вдруг кто-то говорит не интеллект интеллект вообще не участвует в этом процессе вообще постыдную роль занимает пренебречь можно смело вам микрофон что скажете что теперь делать Смарт, бизнес-школа, плакат желаний.
[15:43-15:46] Павел Кочкин:  Сейчас я, короче, надо, чтобы бизнес мой Х2 зарабатывал.
[15:46-15:50] Павел Кочкин:  В следующем году хочу новый рынок открыть для себя, для своего товара.
[15:50-15:53] Павел Кочкин:  Хочу увеличить продажи на Велберс. Поздравляю!
[15:53-15:56] Павел Кочкин:  Вообще, ну, постыднейшую роль занимает.
[15:56-15:59] Павел Кочкин:  Можно выкинуть все, что касается интеллектуальных наработков.
[15:59-16:02] Павел Кочкин:  И что делать? Слушаем внимательно.
[16:02-16:05] Павел Кочкин:  Вот у кого смина с хватает, нажимайте микрофон к карте идеи.
[16:05-16:08] Павел Кочкин:  Я каждый день сейчас пишу цели с чистого листа, пиши, состояние.
[16:08-16:10] Павел Кочкин:  Ну, вот тут у нас есть, конечно, буру.
[16:10-16:12] Павел Кочкин:  Но давай, Андрюх, не сразу поли классу.
[16:12-16:14] Павел Кочкин:  Давай немножко драматургии.
[16:17-16:27] Павел Кочкин:  Здесь есть, например, Андрей Зенин, который не просто в теме, который пропустил это через свою шкуру, выжимал меня просто на каждом событии под себя, под конкретную задачу.
[16:27-16:29] Павел Кочкин:  Потом шел, переваривал это все.
[16:29-16:36] Павел Кочкин:  до максимальной глубины, мучил чат GPT, перепроверяя каждое мое слово, потом приходил и говорил, так, я с этим разобрался, пашу следующий вопрос.
[16:36-16:38] Павел Кочкин:  Вот и так несколько лет.
[16:38-16:43] Павел Кочкин:  Поэтому он, конечно, сейчас на любую формулировку, которую я вас спрошу, выдаст вам максимально глубокий ответ.
[16:43-16:46] Павел Кочкин:  Если что, он меня это подменяет в бойный сервис и можете к нему ходить.
[16:46-16:48] Павел Кочкин:  Но он только не дешевый парень.
[16:49-16:52] Павел Кочкин:  Можно, в принципе, его попросить.
[16:52-16:53] Павел Кочкин:  Вот, он подскажет.
[16:53-16:55] Павел Кочкин:  Итак, что будем делать?
[16:55-16:56] Павел Кочкин:  Давайте, какие идеи?
[16:56-16:57] Павел Кочкин:  Интеллект вообще не участвует.
[16:57-16:58] Павел Кочкин:  Тогда через что?
[17:01-17:04] Павел Кочкин:  Да, пришлось Библию перечитать, да, чтобы нормально разобраться.
[17:04-17:04] Павел Кочкин:  Да, слушай, Жень.
[17:04-17:09] Павел Кочкин:  А, микрофон можно сдавать, да? Ага. Здравствуйте. Привет.
[17:10-17:24] Евгений Виноградов:  Если интеллект на последнем месте, я предлагаю изучать глубже, понять, где можно..
[17:23-17:27] Евгений Виноградов:  получить энергию, чтобы обойти интеллект. Красиво.
[17:27-17:28] Павел Кочкин:  Так, какие идеи?
[17:29-17:30] Павел Кочкин:  Откуда можно зайти?
[17:32-17:41] Евгений Виноградов:  На своем опыте я зашел бы по изучению нейробиологии и эволюции человеческого мозга.
[17:41-17:46] Павел Кочкин:  Так, ну вот конкретно на 26-й год планы строишь, нарисовал себе, что надо бизнес умножить 10.
[17:46-17:47] Павел Кочкин:  Смотришь на план, понимаешь?
[17:47-17:49] Павел Кочкин:  Ну, в принципе, нормалек.
[17:49-17:53] Павел Кочкин:  Так при этом начинает как-то в него вглядываться, и брови хмурятся, думаешь, по-моему, хрень, в принципе.
[17:53-18:00] Павел Кочкин:  В прошлом году такая же была цель, но что, топ никакого. Как решать? Ну.
[18:00-18:08] Евгений Виноградов:  В моем случае я сейчас активно применяю мышление роста и установка, что стресс помогает.
[18:08-18:39] Евгений Виноградов:  ушел полностью от майндсет и оставил только майндсет фиксет как чекпоинтс по достижению цели но любая трудность и скажем так любые вопросы которые возникают которые отталкивают как раз в том числе из-за интеллекта из-за неокортекса я все равно воспринимаю это как некую точку роста Хорошо, спасибо большое.
[18:39-18:41] Павел Кочкин:  Так и вот там ты уже здесь на связи?
[18:42-18:45] Павел Кочкин:  Да ты хотел к этому свое предложение какое-то искать?
[18:46-18:48] Ivan Belyankin:  Давай пропущу красавицу. Адыфей.
[18:49-18:50] Павел Кочкин:  Давай, давай, Адафей.
[18:53-18:56] Павел Кочкин:  А у тебя сейчас с микрофона?
[19:00-19:03] Ivan Belyankin:  Ну ладно, тогда давай это самое Анфига нравится.
[19:03-19:10] Ivan Belyankin:  У меня что-то такое пару лет, как я пытаюсь планировать состояние. В принципе.
[19:10-19:13] Павел Кочкин:  Ну, молодец, молодец, все, дальше мы можем не продолжать.
[19:13-19:13] Павел Кочкин:  Ты абсолютно прав.
[19:13-19:17] Павел Кочкин:  И Андрей тоже самое сказал: да, да, да, да, все, это и есть ответ.
[19:17-19:20] Ivan Belyankin:  Я причем хочу сказать, что это возможно и про бизнес.
[19:20-19:24] Ivan Belyankin:  и про такие очень прагматичные вещи. Правильно.
[19:24-19:29] Павел Кочкин:  И про бизнес, и про прагматичные вещи, и про тело, и про отношения.
[19:29-19:31] Павел Кочкин:  То есть абсолютно верно.
[19:31-19:32] Павел Кочкин:  Да, ну это сразу делает.
[19:32-19:34] Павел Кочкин:  Здесь просто есть часть продолжительных очень ребят.
[19:34-19:35] Павел Кочкин:  Да, вот Иван один из них.
[19:35-19:36] Павел Кочкин:  Кстати, единицы у меня все просьба.
[19:36-19:40] Павел Кочкин:  Под страхой, пожалуйста, Иван, он рассматривает вариант из Испании, где сейчас живет в Валенсии.
[19:40-19:43] Павел Кочкин:  Матнуть в Аргентину, потому что там все-таки паспорт пока не дают.
[19:43-19:49] Павел Кочкин:  Хочется повнимательнее к этому отнестись, а я, как ты имеешь контакт с текущими адвокатами уже потерял.
[19:48-19:49] Павел Кочкин:  А, он к я прошусь.
[19:49-19:51] Павел Кочкин:  Да, Иван, знакомься, Денис.
[19:51-19:55] Павел Кочкин:  А, кстати, здесь сейчас есть один из наших друзей, адвокатов, если уж, может, попросить им тоже писаться.
[19:56-19:57] Павел Кочкин:  Я его сейчас уже не вижу, где-то в чате.
[19:57-19:58] Павел Кочкин:  А, вон, Руслан, например.
[19:59-20:00] Павел Кочкин:  Руслан точно, наверное, в теме.
[20:00-20:03] Павел Кочкин:  С Русланом может посоветоваться, как раз специалист в этой теме.
[20:02-20:05] Павел Кочкин:  Так, значит, Иван выдал абсолютно правильный ответ.
[20:05-20:10] Павел Кочкин:  Ребята, значит, вместо интеллекта обращаться будем к состоянию.
[20:11-20:14] Павел Кочкин:  А обращаться будем к телесным реакциям.
[20:14-20:17] Павел Кочкин:  Знаете, такая фраза лучше всего подходит Жопу чувствую.
[20:18-20:26] Павел Кочкин:  Вот эта механика, что я хочу продумать планы, меняйте ее на прочувствовать.
[20:27-20:32] Павел Кочкин:  Итак, первая грубейшая ошибка <unk> это на этапе планирования думать.
[20:37-20:48] Павел Кочкин:  Грустно, стр<unk>мно, ничего не понятно, или в принципе более-менее понятная подсказка, что одна из грубейших ошибок - это интеллект подключать к планированию.
[20:49-20:50] Павел Кочкин:  Дайте мне обратную связь.
[20:50-20:55] Павел Кочкин:  Мне надо здесь глубже уходить, давать сейчас инструкции подсказки, как чувствительность прокачать, как примирить это.
[20:55-20:57] Павел Кочкин:  Или в принципе более-менее понятно.
[20:59-21:00] Павел Кочкин:  Ребята, дайте мне обратную связь.
[21:00-21:04] Павел Кочкин:  Я тут для вас сижу, а нет не в пустоту.
[21:04-21:06] Павел Кочкин:  Да, то есть если понятно, дальше идем.
[21:06-21:07] Павел Кочкин:  Да, более-менее понятно.
[21:07-21:08] Павел Кочкин:  Все, слава богу.
[21:08-21:11] Павел Кочкин:  Да, если есть какой-то вопрос, отожмите микрофон и скажите.
[21:11-21:15] Константин:  Да, не до конца понятно, почему не интеллект не стучать.
[21:15-21:24] Константин:  Я не в курсе такой системы, но кажется, что когда ты планируешь, ты Включаешь интеллект и непосредственно в него ставишь себе какие-то цели.
[21:24-21:29] Павел Кочкин:  Костя, а попробуй сейчас только сам сказать от первого лица в то, что ты, когда ты говоришь про меня, я так точно не делаю.
[21:29-21:32] Павел Кочкин:  А как будто бы это ты сейчас про кого говорил, да?
[21:31-21:41] Константин:  Я про себя говорю, когда я сажусь и ставлю, прописываю себе цели, то я думаю о том, какие это цели и какой результат я хочу получить.
[21:41-21:43] Константин:  И как будто бы.
[21:42-21:53] Константин:  Я опираюсь непосредственно на свой интеллект, потому что это интеллект мой богознаний, и учитывая вот это багаждание, я уже как бы ставлю эти цели.
[21:53-22:03] Павел Кочкин:  Кось, давай честно были ситуации, когда к тебе приходит кто-нибудь из друзей и говорит, слушай, очень классный проект, показывает тебе все цифры, рассказывает тебе о том, как это все очень круто будет работать.
[22:03-22:06] Павел Кочкин:  Ты смотришь, конечно, придраться не к чему.
[22:06-22:09] Павел Кочкин:  Но где-то внутри что-то блевать хочется прямо сейчас на эту вот идею.
[22:09-22:13] Павел Кочкин:  Смотришь и понимаешь, все вроде бы классно, точно участвовать не буду.
[22:13-22:16] Константин:  Ты поговоришь про состояние не мое, когда ты видишь что это.
[22:16-22:17] Павел Кочкин:  Да, что ты.
[22:17-22:20] Павел Кочкин:  Да, да, только не ты, а когда я, правильно, когда я вижу, что это не мое, да.
[22:21-22:22] Константин:  Да, да.
[22:22-22:27] Павел Кочкин:  Или, например, наоборот, ты понимаешь, в это заходить сейчас просто полный капец.
[22:27-22:39] Павел Кочкин:  Сплошной какой-то риск полный не присоединился, а внутри глубоко прямо щекочет такой, знаешь, да, это До такого азарта, какой ты думаешь, твою мать, с точки зрения логики, ну точно не надо сейчас этого делать.
